place_name,category,menu_name,weather,menu_price
달인수제한방족발 용산본점,국수,막국수(소),"더운날, 시원하게",7000
달인수제한방족발 용산본점,국수,막국수(대),"더운날, 시원하게 나눠먹기",10000
달인수제한방족발 용산본점,전,고기녹두전,"흐림, 고소한 전 생각날 때",9000
달인수제한방족발 용산본점,안주,골뱅이소면,"비오는날, 술안주",12000
달인수제한방족발 용산본점,사이드,주먹밥,"흐림, 사이드로 든든하게",5000
달인수제한방족발 용산본점,족발,매운족발 미니,"흐림, 혼술 안주",12000
달인수제한방족발 용산본점,국수,냉묵사발,"더운날, 입가심",6000
달인수제한방족발 용산본점,국수,잔치국수,"맑은날, 따뜻하게",7000
달인수제한방족발 용산본점,족발,미니족발 포장판매,"선선한날, 간편하게",15000
바다잔치,코스요리,A코스,"기념일, 특별한 날",50000
바다잔치,코스요리,B코스,"주말, 가족 모임",70000
바다잔치,코스요리,C코스,"회식, 큰 모임",90000
바다잔치,회,활어모듬 대,"더운날, 시원한 회",80000
바다잔치,회,활어모듬 중,"맑은날, 회가 땡길 때",60000
바다잔치,회,광어 대,"더운날, 담백하게",70000
바다잔치,회,광어 중,"선선한날, 가볍게",50000
바다잔치,회,우럭 대,"더운날, 고소한 회",60000
바다잔치,회,우럭 중,"맑은날, 가벼운 한끼",40000
바다잔치,회,놀래미,"맑은날, 입맛 돋구기",55000
바다잔치,회,농어,"맑은날, 담백한 식사",60000
바다잔치,회,도다리/멍게/해삼/감성돔/참돔,"여름, 신선한 바다맛",70000
바다잔치,볶음,해물볶음,"흐림, 술안주로 딱",35000
바다잔치,볶음,낙지,"흐림, 매콤한게 땡기는날",30000
달볶이 숙명여대점,DIY세트,홈메뉴(DIY) 5인분,"가족끼리, 주말 저녁",20000
달볶이 숙명여대점,튀김,튀김세트,"흐림, 간식 타임",8000
달볶이 숙명여대점,순대,순대세트,"비오는날, 포근하게",9000
달볶이 숙명여대점,김밥,김밥세트,"맑은날, 가벼운 점심",8500
달볶이 숙명여대점,어묵,어묵세트,"추운날, 따뜻한 국물과",8000
달볶이 숙명여대점,떡볶이,떡볶이,"흐림, 출출한날",7000
달볶이 숙명여대점,순대,순대,"흐림, 떡볶이랑 같이",6000
달볶이 숙명여대점,튀김,튀김,"흐림, 떡볶이랑 찰떡궁합",6000
달볶이 숙명여대점,어묵,어묵,"추운날, 뜨끈하게",5000
달볶이 숙명여대점,김밥,꼬마김밥,"맑은날, 가벼운 간식",4500
달볶이 숙명여대점,튀김,어묵튀김 5개,"흐림, 바삭하게",5000
달볶이 숙명여대점,튀김,오징어튀김 1개,"흐림, 별미로",2000
남영역찹쌀잉어빵,간식,잉어빵 3마리,"추운날, 따뜻한 길거리 간식",4000
다이빙룸,파스타,레드라구 파스타,"비오는날, 든든하고 따뜻한 식사",15000
다이빙룸,스테이크,치킨 스테이크,"맑은날, 산뜻한 점심",16000
다이빙룸,스테이크,비프 큐브 스테이크,"흐림, 고기 당기는 날",18000
다이빙룸,파스타,머쉬룸 파스타,"흐림, 고소하고 따뜻한 날",14000
다이빙룸,파스타,바질 페스토 파스타,"맑은날, 가벼운 점심",13500
다이빙룸,파스타,봉골레 파스타,"더운날, 산뜻한 해산물",14000
다이빙룸,안주,감바스 알 아히요,"흐림, 와인과 함께",18000
다이빙룸,안주,치즈퐁듀칩스,"겨울, 포근한 간식",8000
다이빙룸,안주,레드라구 칩스,"비오는날, 바삭한 안주",8000
다이빙룸,안주,페퍼로니 칩스,"맑은날, 가벼운 스낵",8000
다이빙룸,주류,스텔라 생맥주,"더운날, 시원한 맥주",7000
다이빙룸,주류,유자/자몽 하이볼,"맑은날, 상큼한 저녁",7000
동아냉면 숙대2호점,사이드,만두,"흐림, 냉면과 함께",5000
동아냉면 숙대2호점,냉면,물냉면,"더운날, 푸짐하게",8500
동아냉면 숙대2호점,냉면,비빔냉면,"더운날, 푸짐하고 매콤하게",9000
베나레스 숙대점,인도요리,버터치킨,"흐림, 고소하고 든든한 날",18000
베나레스 숙대점,인도요리,치킨티카마살라,"맑은날, 향신료가 땡기는 날",17000
베나레스 숙대점,인도요리,프라운마크니,"더운날, 해산물 커리",19000
베나레스 숙대점,인도요리,팔락 파니르,"흐림, 담백한 날",16000
베나레스 숙대점,인도요리,램 빈달루,"추운날, 매콤하게",20000
베나레스 숙대점,인도요리,탄두리 치킨 비리야니,"맑은날, 향긋한 날",17000
베나레스 숙대점,인도요리,탄두리 치킨(half),"흐림, 가벼운 인도식",10000
베나레스 숙대점,인도요리,마늘난,"흐림, 커리와 찰떡궁합",3000
베나레스 숙대점,인도요리,버터난,"흐림, 부드럽게",3000
베나레스 숙대점,인도요리,플레인 난,"맑은날, 담백하게",2500
베나레스 숙대점,인도요리,샐러드 크림 프라타,"맑은날, 가벼운 브런치",3500
레이브피자,피자,슈퍼 레이브(S),"주말, 파티날",18000
레이브피자,스프,클램 차우더 스프,"추운날, 따뜻하게",6000
레이브피자,피자,치즈 피자(S),"맑은날, 담백하게",15000
레이브피자,피자,바질 마스카포네(S),"봄날, 상쾌하게",16000
레이브피자,피자,치즈 엑스터시(S),"비오는날, 진한 치즈",17000
레이브피자,피자,애시드쉬림프(S),"더운날, 상큼한 해산물",18000
레이브피자,피자,누 레이브(S),"주말, 트렌디하게",17500
레이브피자,피자,마가리따(S),"맑은날, 가볍게",15000
레이브피자,피자,페퍼로니(S),"흐림, 짭짤한 피자",16000
레이브피자,피자,하와이안(S),"더운날, 달콤하게",16000
레이브피자,피자,더블 치즈 베이컨(S),"겨울, 고소하게",17000
교촌치킨 숙대점,치킨,교촌싱글윙,"흐림, 가볍게 혼자서",7000
교촌치킨 숙대점,치킨,레드싱글윙,"비오는날, 매콤하게",7500
교촌치킨 숙대점,치킨,교촌옥수수통안심 떡볶이세트,"흐림, 푸짐한 저녁",13000
교촌치킨 숙대점,치킨,교촌오리지날(한마리),"주말, 가족끼리",18000
교촌치킨 숙대점,치킨,레드윙박스,"비오는날, 매콤한 치맥",20000
교촌치킨 숙대점,치킨,허니윙박스,"맑은날, 달콤하게",20000
교촌치킨 숙대점,치킨,후라이드윙박스,"주말, 기본은 후라이드",19000
교촌치킨 숙대점,치킨,양념치킨윙박스,"흐림, 달콤매콤하게",20000
교촌치킨 숙대점,치킨,허니오리지날(한마리),"맑은날, 달콤하게",19000
교촌치킨 숙대점,치킨,교촌후라이드,"주말, 기본으로",18000
교촌치킨 숙대점,치킨,교촌양념치킨,"흐림, 달콤매콤",19000
교촌치킨 숙대점,치킨,반반오리지날(한마리),"흐림, 다양한 맛",19000
교촌치킨 숙대점,치킨,허니순살,"맑은날, 달콤하게",17000
교촌치킨 숙대점,사이드,달걀듬뿍볶음밥,"흐림, 사이드로 든든하게",5000
츄르츄르라멘,일식,츄라멘,"비오는날, 따뜻한 국물",9000
츄르츄르라멘,일식,차슈멘(2장),"흐림, 든든하게",10000
츄르츄르라멘,일식,차슈멘(4장),"추운날, 푸짐하게",12000
츄르츄르라멘,일식,연어스시 10P,"맑은날, 가볍게",15000
츄르츄르라멘,일식,신츄멘,"비오는날, 얼큰하게",9500
츄르츄르라멘,일식,신차슈멘(2),"흐림, 얼큰하면서 든든하게",11000
츄르츄르라멘,일식,신차슈멘(4)장,"추운날, 푸짐하고 얼큰하게",13000
상록수,대표)상록수연탄모둠,"모임날, 다양하게 즐기기",25000
상록수,대표)연탄파불고기,"흐림, 불향 가득하게",15000
상록수,원조)황지살,"맑은날, 담백하게",14000
상록수,NEW)꽈배기생오겹,"주말, 색다르게",16000
상록수,원조)비빔수제비,"더운날, 시원하게",9000
상록수,NEW)역할맥st짜빠구리,"비오는날, 얼큰하게",11000
상록수,추천)시골청국장,"흐림, 구수하게",9000
상록수,NEW)깍둑목살,"추운날, 든든하게",15000
상록수,NEW)생갈매기살1600,"모임날, 구워먹기 좋게",16000
상록수,원조)오이지냉국수,"여름날, 시원하게",8000
포36거리 숙대점,소고기쌀국수,"맑은날, 가볍게",10000
포36거리 숙대점,히레가스(안심),"흐림, 든든하게",9000
포36거리 숙대점,포돈정식(양지 쌀국수+히레가스1줄),"주말, 푸짐하게",13000
포36거리 숙대점,감자말이 새우롤4pcs,"모임날, 간편하게",7000
포36거리 숙대점,칠리소스 닭어깨튀김4pcs,"비오는날, 매콤하게",8000
포36거리 숙대점,새우춘권4pcs,"모임날, 바삭하게",6000
동대문엽기떡볶이 숙대입구점,떡볶이,엽기떡볶이,"추운날, 매콤하게",12000
동대문엽기떡볶이 숙대입구점,떡볶이,마라떡볶이,"비오는날, 얼얼하게",13000
동대문엽기떡볶이 숙대입구점,떡볶이,마라로제떡볶이,"흐림, 고소하고 얼얼하게",14000
동대문엽기떡볶이 숙대입구점,닭요리,엽기닭볶음탕,"추운날, 얼큰하고 푸짐하게",17000
동대문엽기떡볶이 숙대입구점,떡볶이,2인엽기떡볶이,"주말, 친구랑 함께",23000
동대문엽기떡볶이 숙대입구점,밀키트,엽기밀키트(오리지널/착한맛),"맑은날, 간편하게",15000
동대문엽기떡볶이 숙대입구점,밀키트,로제밀키트(오리지널/착한맛),"맑은날, 간편하고 부드럽게",16000
동대문엽기떡볶이 숙대입구점,안주,엽기오돌뼈,"흐림, 매콤한 술안주",12000
동대문엽기떡볶이 숙대입구점,안주,엽기무뼈닭발,"비오는날, 매콤하게",13000
동대문엽기떡볶이 숙대입구점,안주,엽기국물닭발,"추운날, 얼큰하게",13500
동대문엽기떡볶이 숙대입구점,세트,실속세트,"주말, 가성비 있게",20000
동대문엽기떡볶이 숙대입구점,세트,베스트세트,"주말, 인기 메뉴 모음",22000
동대문엽기떡볶이 숙대입구점,세트,스페셜세트,"모임날, 푸짐하게",25000
동대문엽기떡볶이 숙대입구점,세트,닭발세트,"비오는날, 닭발과 함께",21000
몽소,빵류,파니니빵,"맑은날, 가볍게",5000
몽소,빵류,쌀치즈카스테라,"흐림, 부드럽게",5500
몽소,빵류,샌드위치,"맑은날, 든든하게",6000
몽소,빵류,쪽파베이글,"맑은날, 심플하게",4500
몽소,빵류,통밀빵,"흐림, 건강하게",4000
몽소,빵류,무화과깜빠뉴,"맑은날, 고급스럽게",6000
몽소,빵류,꿀빵,"흐림, 달콤하게",3500
몽소,빵류,해남고구마맛탕빵,"추운날, 따뜻하고 달콤하게",5000
몽소,커피,아메리카노 hot,"추운날, 따뜻하게",4000
몽소,커피,카페라떼 hot,"추운날, 부드럽게",4500
몽소,커피,바닐라라떼 hot,"추운날, 달콤하게",4800
몽소,커피,카푸치노 hot,"흐림, 부드럽게",4500
몽소,커피,카라멜라떼 hot,"추운날, 달콤하게",5000
몽소,커피,아메리카노 ice,"더운날, 시원하게",4000
몽소,커피,카페라떼 ice,"더운날, 부드럽게",4500
네코노스시 숙대점,일식,네코스시,"맑은날, 가볍게",10000
네코노스시 숙대점,일식,모듬초밥,"흐림, 신선하게",12000
네코노스시 숙대점,일식,치킨가라아게,"흐림, 바삭하게",8000
네코노스시 숙대점,일식,활어초밥,"맑은날, 신선하게",13000
네코노스시 숙대점,일식,연어초밥,"맑은날, 상큼하게",11000
네코노스시 숙대점,일식,카라동,"흐림, 든든하게",9500
네코노스시 숙대점,일식,연어동,"맑은날, 가볍게",10000
네코노스시 숙대점,일식,네코동,"흐림, 푸짐하게",11000
포라임 숙대점,아시아,차돌양지쌀국수+에그롤1+고구마롤2,"흐림, 든든하게",12000
포라임 숙대점,아시아,차돌양지쌀국수+가라아게2+고구마롤1,"흐림, 든든하게",12000
포라임 숙대점,아시아,차돌양지쌀국수+짜조2+고구마롤1,"흐림, 든든하게",12000
포라임 숙대점,아시아,차돌양지쌀국수+스프링롤2+고구마롤1,"흐림, 든든하게",12000
포라임 숙대점,아시아,차돌양지쌀국수+직화불고기덮밥,"흐림, 푸짐하게",13000
포라임 숙대점,아시아,차돌양지쌀국수+꿔이1+연유,"맑은날, 가볍게",11500
포라임 숙대점,아시아,차돌양지쌀국수+돈까스(1/2)세트,"흐림, 든든하게",12500
포라임 숙대점,아시아,직화불고기덮밥+쌀국수 2인 세트,"흐림, 푸짐하게",15000
포라임 숙대점,아시아,파인애플새우볶음밥+쌀국수 2인 세트,"맑은날, 이색적으로",15000
포라임 숙대점,아시아,노미트 쌀국수,"맑은날, 가볍게",9500
포라임 숙대점,아시아,(담백)양지쌀국수,"흐림, 따뜻하게",10000
포라임 숙대점,아시아,(숙취해소)얼큰소고기쌀국수,"비오는날, 얼큰하게",10500
포라임 숙대점,아시아,(보양)차돌양지쌀국수,"흐림, 든든하게",11000
포라임 숙대점,아시아,(불맛)직화불고기쌀국수,"흐림, 매콤하게",11000
포라임 숙대점,아시아,(쫄깃)곱창힘줄쌀국수,"흐림, 쫄깃하게",11500
라리에또 숙대점,이탈리안,리코타샐러드,"맑은날, 상큼하게",9500
라리에또 숙대점,이탈리안,아라비아따 펜네,"흐림, 매콤하게",11000
라리에또 숙대점,이탈리안,토마토 조개 스파게티,"맑은날, 담백하게",12000
라리에또 숙대점,이탈리안,마일드 토마토 새우 스파게티,"맑은날, 부드럽게",12500
라리에또 숙대점,이탈리안,치킨 토마토 스파게티,"흐림, 든든하게",12000
라리에또 숙대점,이탈리안,토마토 크림치즈 펜네,"흐림, 고소하게",11500
육쌈냉면 숙대점,한식,냉면+숯불고기,"더운날, 시원하게",11000
육쌈냉면 숙대점,한식,비빔밥+숯불고기,"맑은날, 든든하게",10500
육쌈냉면 숙대점,한식,된장찌개,"흐림, 따뜻하게",8000
육쌈냉면 숙대점,한식,김치찌개+숯불고기,"비오는날, 얼큰하게",9500
육쌈냉면 숙대점,한식,고기만두,"흐림, 든든하게",4000
리또리또,멕시칸,브리또,"맑은날, 간편하게",7000
숙대소반,한식,쫄면순두부 + 돈가스,"흐림, 든든하게",10000
숙대소반,한식,쫄면순두부 + 치즈알밥,"흐림, 든든하게",9500
숙대소반,한식,굴순두부,"추운날, 따뜻하게",8500
숙대소반,한식,뚝제육,"흐림, 든든하게",9000
숙대소반,한식,뚝불고기,"흐림, 든든하게",9000
숙대소반,한식,쫄순이,"흐림, 간편하게",7500
숙대소반,한식,부대찌개,"비오는날, 얼큰하게",9500
숙대소반,한식,김치치즈밥,"흐림, 고소하게",8000
숙대소반,한식,정식,"흐림, 든든하게",9500
숙대소반,한식,돈가스,"맑은날, 바삭하게",8500
숙대소반,한식,함박,"흐림, 든든하게",8500
숙대소반,한식,치즈알밥,"흐림, 고소하게",7000
숙대소반,한식,돈가스or함박 순두부,"흐림, 든든하게",10000
한끼마끼 숙대점,일식,반끼베스트세트,"맑은날, 든든하게",12000
한끼마끼 숙대점,일식,살몬아보카도,"맑은날, 상큼하게",11000
한끼마끼 숙대점,일식,유부베스트세트,"흐림, 든든하게",9500
한끼마끼 숙대점,일식,살몬러버유부세트,"흐림, 상큼하게",10000
한끼마끼 숙대점,일식,유부베이직세트,"흐림, 간편하게",8500
한끼마끼 숙대점,일식,내맘대로초이스세트,"맑은날, 자유롭게",11000
한끼마끼 숙대점,일식,생연어유부초밥,"맑은날, 상큼하게",9000
한끼마끼 숙대점,일식,우니이쿠라유부초밥,"맑은날, 고급스럽게",13000
한끼마끼 숙대점,일식,해초샐러드유부초밥,"흐림, 가볍게",8500
한끼마끼 숙대점,일식,허브딜치킨유부초밥,"흐림, 담백하게",8500
한끼마끼 숙대점,일식,그릴드관자유부초밥,"흐림, 고소하게",9500
한끼마끼 숙대점,일식,낙지탕탕유부초밥,"맑은날, 이색적으로",9500
샐러디 숙명여대점,샐러드,로스트닭다리살 샐러드,"맑은날, 상큼하게",10000
샐러디 숙명여대점,샐러드,칠리베이컨 포케볼,"흐림, 든든하게",10500
샐러디 숙명여대점,샌드위치,멕시칸 랩 샌드위치,"맑은날, 간편하게",9500
샐러디 숙명여대점,샌드위치,에그베이컨 샌드,"흐림, 부드럽게",8500
샐러디 숙명여대점,샌드위치,바베큐닭다리살 샌드,"흐림, 든든하게",9500
샐러디 숙명여대점,샐러드,그라브락스 연어 포케볼,"맑은날, 상큼하게",11000
샐러디 숙명여대점,샐러드,로스트삼겹 포케볼,"흐림, 든든하게",11000
샐러디 숙명여대점,샐러드,탄단지 샐러드,"흐림, 건강하게",9500
샐러디 숙명여대점,샐러드,콥 샐러드,"흐림, 든든하게",10500
샐러디 숙명여대점,샐러드,노릇두부단호박 샐러드,"흐림, 건강하게",9500
샐러디 숙명여대점,누들볼,그라브락스 연어 파스타 누들볼,"맑은날, 이색적으로",11000
샐러디 숙명여대점,누들볼,우삼겹메밀면 누들볼,"흐림, 든든하게",10500
샐러디 숙명여대점,누들볼,갈빗살메밀면 누들볼,"흐림, 든든하게",11000
샐러디 숙명여대점,샐러드,우삼겹 포케볼,"흐림, 든든하게",10500
샐러디 숙명여대점,샐러드,바베큐닭다리살 포케볼,"흐림, 든든하게",10500
샐러디 숙명여대점,샐러드,더블 닭다리살 박스(도시락),"흐림, 푸짐하게",11000
샐러디 숙명여대점,샐러드,더블 치킨 파스타 박스(도시락),"흐림, 푸짐하게",11500
